year,indexed_decisions,bootstrap_scored_decisions,bootstrap_complete_cards,decisions_with_round_scores,complete_three_judge_cards,quarantined,bootstrap_coverage_pct,round_score_coverage_pct
1996,5,0,0,0,0,0,0.0,0.0
1997,8,0,0,0,0,0,0.0,0.0
1998,7,0,0,0,0,0,0.0,0.0
1999,11,0,0,0,0,0,0.0,0.0
2000,17,0,0,0,0,0,0.0,0.0
2001,12,0,0,0,0,0,0.0,0.0
2002,15,0,0,0,0,0,0.0,0.0
2003,14,0,0,0,0,0,0.0,0.0
2004,10,0,0,0,0,0,0.0,0.0
2005,10,0,0,0,0,0,0.0,0.0
2006,26,2,1,2,1,0,7.69,7.69
2007,48,6,2,6,2,0,12.5,12.5
2008,48,21,9,21,9,0,43.75,43.75
2009,79,48,17,50,19,0,60.76,63.29
2010,102,60,33,61,33,0,58.82,59.8
2011,142,114,98,111,98,0,80.28,78.17
2012,158,132,119,132,119,0,83.54,83.54
2013,178,165,158,161,154,0,92.7,90.45
2014,244,235,229,0,0,0,96.31,0.0
2015,223,218,211,0,0,0,97.76,0.0
2016,247,225,216,0,0,0,91.09,0.0
2017,225,210,199,0,0,0,93.33,0.0
2018,230,212,192,0,0,0,92.17,0.0
2019,277,265,258,0,0,0,95.67,0.0
2020,227,224,224,191,191,0,98.68,84.14
2021,257,256,255,256,255,0,99.61,99.61
2022,240,240,239,240,239,0,100.0,100.0
2023,249,249,248,249,249,0,100.0,100.0
2024,238,238,237,238,237,0,100.0,100.0
